date,nav,cash,n_positions,csi300_nav
2017-02-24,1797853.8793736224,1406373.966425014,2,
2017-02-27,1796290.2665525202,1617525.4456907038,1,
2017-02-28,1796517.1656228784,1438384.0227700952,2,
2017-03-01,1797954.4751947168,1617869.5871179346,1,
2017-03-02,1796649.4954889063,1617869.5871179346,1,
2017-03-03,1797246.3279986624,1082842.8141856436,4,
2017-03-06,1817376.9872806792,720941.9982097868,6,
2017-03-07,1825006.1671514276,498.22037408390315,10,
2017-03-08,1822972.1370477441,498.22037408390315,10,
2017-03-09,1818401.0913629297,498.22037408390315,10,
2017-03-10,1817047.1548243288,537063.4237452273,7,
2017-03-13,1829226.2088773374,200.22070385253755,10,
2017-03-14,1837074.7165439252,200.22070385253755,10,
2017-03-15,1836556.6411492948,200.22070385253755,10,
2017-03-16,1846991.602189601,13964.49478393831,10,
2017-03-17,1849641.3541333799,9025.83830524722,10,
2017-03-20,1855124.8758356217,377893.74208852096,8,
2017-03-21,1856762.243265546,373574.89480439475,8,
2017-03-22,1852589.927181161,352383.53746787366,8,
2017-03-23,1872186.0814262992,711.4780594473705,10,
2017-03-24,1890245.3835655814,711.4780594473705,10,
2017-03-27,1878760.299823392,9369.032142270153,10,
2017-03-28,1880260.6252170687,9369.032142270153,10,
2017-03-29,1857163.3658989556,1277926.6364678033,3,
2017-03-30,1850458.9589227326,1654892.5656427033,1,
2017-03-31,1852054.4916583665,1470498.5845996507,2,
2017-04-05,1857041.9807182201,732816.3211093791,6,
2017-04-06,1856482.1883037216,1558.780844462628,10,
2017-04-07,1853047.2189738876,1558.780844462628,10,
2017-04-10,1855211.144812358,1558.780844462628,10,
2017-04-11,1852915.350306762,179077.6899464257,9,
2017-04-12,1846253.8154377588,378994.6979298241,8,
2017-04-13,1850773.4982285625,8439.222076905484,10,
2017-04-14,1836668.677817238,908800.8915051349,5,
2017-04-17,1831794.0159277327,1277644.825978697,3,
2017-04-18,1818943.693380583,1090432.878713835,4,
2017-04-19,1815102.2424976714,1268177.692250479,3,
2017-04-20,1822908.2211928852,358320.5839353092,8,
2017-04-21,1818517.7964985378,177497.77289033012,9,
2017-04-24,1823230.7839498527,77.58780574877164,10,
2017-04-25,1827140.450148297,1090.9269616134698,10,
2017-04-26,1827046.200342513,162190.83394560893,9,
2017-04-27,1831515.7253409275,220.38351544219768,10,
2017-04-28,1821159.812171448,3524.9403071292327,10,
2017-05-02,1813604.362547589,388.13408632355276,10,
2017-05-03,1802723.505587209,383229.9250312932,8,
2017-05-04,1801417.1587091573,560746.1257797368,7,
2017-05-05,1786762.7438296205,1055863.045953644,4,
2017-05-08,1767914.1236986048,1591415.9038270838,1,
2017-05-09,1766166.677684856,1238921.763367725,3,
2017-05-10,1759857.9189133411,1064137.2375559574,4,
2017-05-11,1763500.45720985,888396.9379608876,5,
2017-05-12,1719373.1285889393,551319.4705326802,7,
2017-05-15,1723986.1751175649,164181.17781646305,9,
2017-05-16,1735059.6696019892,178.29879529526806,10,
2017-05-17,1735095.2307105784,178.29879529526806,10,
2017-05-18,1750487.1191621546,178.29879529526806,10,
2017-05-19,1763221.0924912218,1436.5162897830014,10,
2017-05-22,1772514.1729365117,170332.5109492069,9,
2017-05-23,1748809.7847269778,679326.8035219914,6,
2017-05-24,1741949.8858934885,850385.221768046,5,
2017-05-25,1761633.2381422524,1045920.9849531656,4,
2017-05-26,1761616.7515213494,1045920.9849531656,4,
2017-05-31,1764295.785829783,694364.4106123453,6,
2017-06-01,1758948.7305417543,345710.8775868898,8,
2017-06-02,1760521.6950547462,167931.8378817801,9,
2017-06-05,1756551.3581439976,329090.4539510731,8,
2017-06-06,1773494.2076683645,153609.31117540642,9,
2017-06-07,1791524.3715229158,104.6524467591662,10,
2017-06-08,1799536.6364660386,104.6524467591662,10,
2017-06-09,1807858.7062540178,104.6524467591662,10,
2017-06-12,1803599.2714156036,882365.4383887176,5,
2017-06-13,1815921.1844910507,882365.4383887176,5,
2017-06-14,1810739.569599784,520461.75485388085,7,
2017-06-15,1825485.9470781926,337928.95602556516,8,
2017-06-16,1816190.814724267,531787.5136283045,7,
2017-06-19,1826406.3762095575,531787.5136283045,7,
2017-06-20,1824889.2582324152,531787.5136283045,7,
2017-06-21,1829580.6520292405,694555.2189180498,6,
2017-06-22,1810647.104501665,1252751.7337321644,3,
2017-06-23,1806963.8911789777,1072792.329556358,4,
2017-06-26,1813477.6988095166,1072792.329556358,4,
2017-06-27,1820486.0980248335,527052.4131035687,7,
2017-06-28,1825089.1191697004,527052.4131035687,7,
2017-06-29,1829705.5772892835,161896.34638947263,9,
2017-06-30,1828618.2635416389,133.3615412117215,10,
2017-07-03,1851096.6199745536,190982.58865970385,9,
2017-07-04,1848579.1750347498,380035.8333027245,8,
2017-07-05,1863404.9631991866,193708.60325484292,9,
2017-07-06,1858300.8271748067,182567.87818017023,9,
2017-07-07,1868845.9122885945,258.7855805637082,10,
2017-07-10,1867851.2389868977,183541.69101421855,9,
2017-07-11,1846810.7659388068,163442.7083063604,9,
2017-07-12,1850585.1126996758,646.2036935569777,10,
2017-07-13,1869980.2621887447,580.3899334193848,10,
2017-07-14,1863161.0304875614,359184.60483982577,8,
2017-07-17,1855437.2177160026,725372.8172338249,6,
2017-07-18,1851552.7009668113,542037.1760072471,7,
2017-07-19,1866709.8761353733,529695.252398038,7,
2017-07-20,1876911.0595177652,1316.9773053170065,10,
2017-07-21,1881058.9600037576,1316.9773053170065,10,
2017-07-24,1886880.8972118618,14345.545744729141,10,
2017-07-25,1883352.0534752132,14345.545744729141,10,
2017-07-26,1877377.438564706,154327.51483480944,9,
2017-07-27,1907108.446426797,338520.9862665416,8,
2017-07-28,1905710.3793663264,147974.57025473125,9,
2017-07-31,1930737.3143818856,378.88525991447386,10,
