date,nav,cash,n_positions,kospi_nav,kospi200_nav
2017-08-23,138224069.49608502,0.0,10,112277771.71514924,113492616.07241012
2017-08-24,138506950.52386793,0.0,10,112725668.16756262,113866393.05214557
2017-08-25,139200521.78074408,0.0,10,112852350.7446753,114042288.10143282
2017-08-28,138836772.52533582,0.0,10,112462813.68171833,113426655.4289274
2017-08-29,137690326.6625925,28342573.577745415,8,112199010.26271214,113100516.69170728
2017-08-30,138478325.8269851,55231622.30590384,6,112557232.53132665,113470629.19124922
2017-08-31,138840584.98498476,55231622.30590384,6,112125467.94266544,112968595.40474182
2017-09-01,138573560.4857272,55231622.30590384,6,111864511.32314494,112785371.39506762
2017-09-04,136878716.90128574,93539911.47945271,3,110534107.03017132,111469823.00560667
2017-09-05,136926007.22743854,107095926.86306192,2,110390343.65614457,111422184.76309136
2017-09-06,137596553.7001667,107095926.86306192,2,110067706.38110106,111099710.50606473
2017-09-07,137337701.05046988,79620156.26736762,4,111318874.75505662,112488548.49939539
2017-09-08,137164370.81028968,52179062.10705896,6,111201681.50956286,112657114.58829565
2017-09-11,137094169.93894368,67267043.14965501,5,111930462.17789648,113536589.83473194
2017-09-12,138246878.5470165,53440284.38750022,6,112233646.3231212,113752794.16614754
2017-09-13,137696716.4621337,53440284.38750022,6,111982653.50180058,113598885.9980212
2017-09-14,139119699.19781345,67032824.07334285,5,112812021.08529484,114522335.00677928
2017-09-15,141147637.73495567,52915945.93966751,6,113211047.47987077,114951079.18941699
2017-09-18,142885171.38740617,38625288.412879944,7,114735983.07103239,116871266.81080289
2017-09-19,143936086.7111959,24229523.611235894,8,114633498.28954798,116717358.64267653
2017-09-20,145515043.3758524,9675839.490706991,9,114450828.65588361,116706365.20209609
2017-09-21,143501351.2953246,0.0,10,114180382.70474418,116622082.15764594
2017-09-22,139989795.83822984,26531237.68344964,8,113336306.6572406,116057752.20784931
2017-09-25,139405056.74552453,81937963.31529978,4,112942024.92847416,115944153.32185128
2017-09-26,139702051.80948263,83639736.75368267,4,112653549.24725877,115170948.00102608
2017-09-27,140402389.7288184,69597394.58427022,5,112570517.59559315,114998717.43193229
2017-09-28,141060451.32868272,41376850.83563344,7,112597562.19070709,115009710.87251274
2017-09-29,141319977.0540172,44133994.06119502,7,113609599.4078657,115896515.079336
2017-10-10,140599044.9401019,1935319.617107708,10,115476150.93730871,118175821.7596834
2017-10-11,142141560.27869105,1935319.617107708,10,116631477.06191312,119506028.06991827
2017-10-12,146946276.46824056,1935319.617107708,10,117419091.58628412,120235259.62842172
2017-10-13,147553617.64645284,14812200.416679148,9,117365002.39605623,119956759.13371691
2017-10-16,148033755.48267102,6607.355721933767,10,117670084.40760475,120128989.70281065
2017-10-17,148936191.31875628,6607.355721933767,10,117875053.97057356,120381838.83616109
2017-10-18,150254448.41480622,630746.697819028,10,117805781.8497554,120341529.55403277
2017-10-19,148447516.83554357,630746.697819028,10,117338432.26752323,119634284.87669025
2017-10-20,150761414.08475253,630746.697819028,10,118120353.19292285,120521089.08351351
2017-10-23,149429546.10079035,630746.697819028,10,118144550.98855112,120726299.97434865
2017-10-24,150593572.85675883,4293937.232682986,10,118165427.51811275,120546740.44486788
