signal_date,entry_date,exit_date,ticker,entry_price,exit_price,return,stage1_prob,stage2_prob,exit_reason
2019-03-11,2019-03-11,2019-03-21,9508.T,1090.1731905517577,1089.907470703125,-0.0012434972085946239,0.6909996199924902,0.6585879873551106,trend_exit
2019-03-11,2019-03-11,2019-03-21,8410.T,248.92415155029295,251.70806884765625,0.010172613676676656,0.6758546580337106,0.6356877323420075,trend_exit
2019-03-11,2019-03-11,2019-03-21,9504.T,1176.8088118896483,1192.8016357421875,0.01257640329275933,0.6692625226081632,0.5518223234624143,trend_exit
2019-03-11,2019-03-11,2019-03-24,1911.T,380.9730607299804,380.33197021484375,-0.002681088482724525,0.6826535739450355,0.6585879873551106,trend_exit
2019-03-18,2019-03-18,2019-03-24,9101.T,329.97606976318355,322.6454772949219,-0.02319331202122976,0.7216382949928171,0.7,trend_exit
2019-03-12,2019-03-12,2019-03-28,3110.T,1738.143755981445,1793.332763671875,0.03071994174417858,0.6910653077135307,0.7,trend_exit
2019-03-12,2019-03-12,2019-03-28,7581.T,1953.00097668457,2038.0391845703125,0.04249878504519433,0.6793397103422285,0.7,trend_exit
2019-03-12,2019-03-12,2019-03-28,9507.T,1108.1911905517577,1125.781494140625,0.014857113316817605,0.6580530205351861,0.6709886547811994,trend_exit
2019-03-13,2019-03-13,2019-03-28,4681.T,647.993659790039,658.1764526367188,0.014698625904965068,0.7447896351544167,0.7,trend_exit
2019-03-25,2019-03-25,2019-03-28,4186.T,907.7797977294922,863.9609375,-0.04922209249286158,0.6777320202292424,0.5518223234624143,trend_exit
2019-03-26,2019-03-26,2019-03-31,7189.T,749.4783438720702,747.1953125,-0.004043114399963854,0.7164080032645435,0.7,trend_exit
2019-03-26,2019-03-26,2019-04-01,8227.T,4436.662210449218,4224.3212890625,-0.048812650682697134,0.7527568822254875,0.7904761904761904,trend_exit
2019-03-28,2019-03-28,2019-04-02,2871.T,1218.3399255371091,1169.383544921875,-0.04114267546313721,0.6750215942279287,0.6709886547811994,trend_exit
2019-03-28,2019-03-28,2019-04-04,8242.T,1312.4174295654295,1302.6036376953125,-0.008470167537696582,0.7076593611364733,0.7904761904761904,trend_exit
2019-03-31,2019-03-31,2019-04-04,8410.T,255.0092863922119,247.80667114257812,-0.029216276890079107,0.7387578965150237,0.6709886547811994,trend_exit
2019-04-01,2019-04-01,2019-04-08,4578.T,3769.712235351562,3744.287841796875,-0.0077376413835905655,0.6172665966878454,0.5654181631605951,trend_exit
2019-03-27,2019-03-27,2019-04-09,4689.T,243.57369841003415,253.3928985595703,0.03927274296616967,0.7076297106172,0.7,trend_exit
2019-03-31,2019-03-31,2019-04-09,6460.T,1146.8764436035156,1139.6595458984375,-0.007286362273445923,0.677808398937432,0.699641912394362,trend_exit
2019-03-26,2019-03-26,2019-04-10,6592.T,773.7076881713866,777.8390502929688,0.0043343540752645016,0.7269954098966083,0.6709886547811994,trend_exit
2019-03-31,2019-03-31,2019-04-10,6465.T,3154.656876464843,3249.98974609375,0.029189507286764727,0.7947842985554682,0.6709886547811994,trend_exit
2019-04-03,2019-04-03,2019-04-14,9433.T,964.7780231933592,959.789794921875,-0.006165167451387954,0.6155810675804685,0.5654181631605951,trend_exit
2019-04-11,2019-04-11,2019-04-16,2871.T,1165.6401837158203,1110.9366455078125,-0.04788310804075968,0.6163853583488093,0.5654181631605951,trend_exit
2019-03-27,2019-03-27,2019-04-17,4704.T,4072.0794860839837,4199.9892578125,0.03038000188686696,0.6781808015588855,0.6366090712742979,trend_exit
2019-04-14,2019-04-14,2019-04-17,6465.T,3342.86125024414,3232.083740234375,-0.03410539212229435,0.6223742224659246,0.5654181631605951,trend_exit
2019-04-14,2019-04-14,2019-04-17,7741.T,7233.975772460937,7046.5546875,-0.026882539528091498,0.6187705339003955,0.5654181631605951,trend_exit
2019-04-11,2019-04-11,2019-04-18,4681.T,684.3096025390624,687.1361694335938,0.003126407575108514,0.6266911919132433,0.5561224489795918,trend_exit
2019-04-15,2019-04-15,2019-04-18,2212.T,1580.6684448242186,1534.36376953125,-0.030265068692390984,0.602838537662739,0.5654181631605951,trend_exit
2019-04-16,2019-04-16,2019-04-21,2264.T,1534.6307539062498,1499.7213134765625,-0.023725030695812666,0.6052232291892319,0.5654181631605951,trend_exit
2019-04-14,2019-04-14,2019-04-25,4403.T,1148.2729803466796,1169.2998046875,0.01729338308573425,0.6204719047790401,0.5654181631605951,trend_exit
2019-04-22,2019-04-22,2019-04-25,6988.T,1025.9227249755859,1010.2249755859376,-0.016285801999007088,0.6052377857200443,0.5654181631605951,trend_exit
2019-04-10,2019-04-10,2019-05-06,2229.T,2679.1295781249996,2706.022216796875,0.009027788970179529,0.6099281993750587,0.5654181631605951,trend_exit
2019-03-31,2019-03-31,2019-05-07,9101.T,332.18836285400386,361.64105224609375,0.08757395379509192,0.7303831213617044,0.7560975609756098,trend_exit
2019-04-24,2019-04-24,2019-05-07,5333.T,1387.1373385009765,1304.7232666015625,-0.06035364548436639,0.6134272931101952,0.5654181631605951,trend_exit
2019-04-14,2019-04-14,2019-05-08,2802.T,783.769925415039,785.7190551757812,0.0014843778356898873,0.6527456136813046,0.5654181631605951,trend_exit
2019-04-22,2019-04-22,2019-05-08,3382.T,1092.2272445068359,1056.7425537109375,-0.0334558889035117,0.6067279399384075,0.5654181631605951,trend_exit
2019-04-23,2019-04-23,2019-05-08,2871.T,1124.5527506103515,1120.30615234375,-0.004772479028691601,0.6211939733214127,0.5654181631605951,trend_exit
2019-04-25,2019-04-25,2019-05-08,6465.T,3226.353745849609,3106.739990234375,-0.03803690025104545,0.6357105633206541,0.5654181631605951,trend_exit
2019-04-22,2019-04-22,2019-05-09,6544.T,493.5746550598144,524.0032348632812,0.060587747490761235,0.6194531817078689,0.5654181631605951,trend_exit
2019-04-21,2019-04-21,2019-05-14,4689.T,258.224763671875,284.49530029296875,0.10063342086671878,0.6048070525510909,0.5654181631605951,trend_exit
2019-05-15,2019-05-15,2019-05-21,4578.T,3374.2698247070307,3314.587890625,-0.018669675291342558,0.6015745062324714,0.5654181631605951,trend_exit
2019-05-19,2019-05-19,2019-05-22,9418.T,255.08008160400388,244.6702880859375,-0.041769093608385766,0.6057299407784981,0.5654181631605951,trend_exit
2019-05-19,2019-05-19,2019-05-22,5947.T,2208.0581472167964,2137.0126953125,-0.033143359332204914,0.6010973453977955,0.5,trend_exit
2019-05-19,2019-05-19,2019-05-22,7453.T,894.4902763671874,866.65185546875,-0.03209098356047724,0.6367180156645033,0.4931756141947225,trend_exit
2019-05-14,2019-05-14,2019-05-23,8804.T,955.1467584838866,962.8455810546876,0.0070522952938021355,0.6034674282276787,0.5654181631605951,trend_exit
2019-05-16,2019-05-16,2019-05-23,6902.T,911.6092459106444,903.1024780273438,-0.010322262969073015,0.603443312321697,0.5654181631605951,trend_exit
2019-05-19,2019-05-19,2019-05-26,3148.T,2142.9738408203125,2139.064697265625,-0.0028223434821013083,0.628506948831743,0.5654181631605951,trend_exit
2019-05-16,2019-05-16,2019-05-28,8233.T,516.1975666503905,516.54931640625,-0.0003192567559280324,0.6038426536846198,0.5654181631605951,trend_exit
2019-05-20,2019-05-20,2019-05-30,3099.T,824.511492980957,811.9337768554688,-0.016239494556873235,0.612273502858431,0.5654181631605951,trend_exit
2019-07-09,2019-07-09,2019-07-16,9684.T,1135.298837524414,1088.798095703125,-0.04191807332487363,0.6939142871715624,0.6821917808219178,trend_exit
2019-07-10,2019-07-10,2019-07-16,7733.T,1173.5410209960937,1141.6934814453125,-0.028110847803364813,0.6461817775154144,0.6823529411764706,trend_exit
2019-07-10,2019-07-10,2019-07-16,4186.T,1015.2096300048826,995.2518920898438,-0.020639077081083146,0.6263758987095674,0.6095979247730223,trend_exit
2019-07-02,2019-07-02,2019-07-18,8804.T,988.4272591552734,1040.167236328125,0.051293415339285886,0.6571637286627241,0.6095979247730223,trend_exit
2019-07-16,2019-07-16,2019-07-21,3148.T,2260.620666992187,2223.6181640625,-0.017351925365674425,0.7118190954606303,0.6095979247730223,trend_exit
2019-07-16,2019-07-16,2019-07-24,9143.T,1312.9609412841796,1296.572509765625,-0.013469558364030965,0.6241785247330427,0.6810344827586206,trend_exit
2019-07-15,2019-07-15,2019-07-25,5714.T,2946.8535776367185,2952.4306640625,0.0008906637851426868,0.6307199272516979,0.6095979247730223,trend_exit
2019-07-21,2019-07-21,2019-07-30,5384.T,616.9957128295898,622.4221801757812,0.007786188892600077,0.6462241014065897,0.6095979247730223,trend_exit
2019-07-15,2019-07-15,2019-07-31,7966.T,1803.0742221679686,1827.78564453125,0.012691455757841918,0.7244603670347086,0.6057692307692307,trend_exit
2019-07-16,2019-07-16,2019-07-31,5947.T,2127.1658122558592,2178.9150390625,0.023303454522432876,0.6989342779945743,0.6095979247730223,trend_exit
2019-07-21,2019-07-21,2019-07-31,6871.T,823.4477471923827,892.2516479492188,0.08247232364219514,0.7623994110807515,0.6823529411764706,trend_exit
2019-07-18,2019-07-18,2019-08-01,2811.T,2288.1095541992186,2245.912841796875,-0.019423294292258753,0.6539677792941287,0.6095979247730223,trend_exit
2019-07-18,2019-07-18,2019-08-01,3923.T,336.1557356872558,338.6710510253906,0.0064751067913786375,0.6348849527280308,0.6095979247730223,trend_exit
2019-07-21,2019-07-21,2019-08-01,4186.T,1000.6229754028319,1006.9093017578124,0.005276130153914593,0.6381948154427511,0.6821917808219178,trend_exit
2019-07-25,2019-07-25,2019-08-04,9468.T,651.7898716430664,641.3787231445312,-0.016957193878784582,0.6321156487154842,0.6447368421052632,trend_exit
2019-07-30,2019-07-30,2019-08-04,5444.T,2110.369002929687,2040.01318359375,-0.03430482177241456,0.6842577432277387,0.6057692307692307,trend_exit
2019-07-18,2019-07-18,2019-08-05,5344.T,5537.978246582031,5998.3369140625,0.08204444119057919,0.6526031893717105,0.5911602209944752,trend_exit
2019-07-31,2019-07-31,2019-08-05,3994.T,1676.6749999999997,1575.0,-0.06158021083394205,0.7077610385793591,0.6821917808219178,trend_exit
