date,nav,cash,n_positions,topix_nav
2023-11-21,107748524.97821106,62459276.41864075,4,21906728.517875616
2023-11-23,107901612.83831848,62459276.41864075,4,22047892.433514696
2023-11-26,107683271.75247253,72633817.6753241,3,21968486.746804196
2023-11-27,108131505.00442566,72633817.6753241,3,21919962.424074594
2023-11-28,108068098.54622254,85220206.1878241,2,21787623.36208478
2023-11-29,107905860.11848816,85220206.1878241,2,21897905.91374296
2023-11-30,107419977.16243348,95737678.1878241,1,21968486.746804196
2023-12-03,107467561.5628241,107467561.5628241,0,21765564.602236535
2023-12-04,107446153.7906073,86038381.57381043,2,21584698.968000513
2023-12-05,107773746.24759582,175615.77274230868,10,22021422.371600125
2023-12-06,107199027.16800597,175615.77274230868,10,21743508.0919049
2023-12-07,106499471.7694464,175615.77274230868,10,21390601.677082114
2023-12-10,107358752.63013977,20759181.81104798,8,21734685.48777225
2023-12-11,106854947.46481995,11942628.556128547,9,21694983.7691753
2023-12-12,106789943.44534974,5834968.7627325505,10,21708217.675374284
2023-12-13,104391294.16005921,48031089.66787171,6,21403835.5832811
2023-12-14,104713346.3201178,48140779.41337953,6,21514118.134939276
2023-12-17,104176699.07112488,58464360.86922059,5,21350899.95848517
2023-12-18,104513774.1944159,67244614.79500183,4,21518529.437005606
2023-12-19,104406962.2704474,4949064.687439587,10,21681747.613459714
2023-12-20,103700838.23211733,4607096.642761853,10,21456771.208077025
2023-12-21,103901625.14007631,4607096.642761853,10,21540585.94733724
2023-12-24,104087535.67453675,170083.4650640972,10,21549408.551469896
2023-12-25,103832597.38745789,174665.3806219604,10,21553822.10305283
2023-12-26,104724545.39160828,174665.3806219604,10,21800855.018767152
2023-12-27,104793752.46558289,174665.3806219604,10,21787623.36208478
2023-12-28,105086874.24292664,174665.3806219604,10,21831736.38274805
2024-01-03,106695939.47119813,174665.3806219604,10,21942018.934406232
2024-01-04,107664976.1220038,68252.4647772368,10,22074360.24591266
2024-01-08,108138302.42205262,68252.4647772368,10,22250812.328565743
2024-01-09,108627500.34685731,68252.4647772368,10,22550785.36810921
2024-01-10,109130256.51140809,68252.4647772368,10,22903691.782931995
2024-01-11,108514950.67924257,10476337.025678115,9,23013974.334590178
2024-01-14,108973591.34099182,54365362.92302308,5,23124259.135764964
2024-01-15,109169055.34922548,54266747.01792665,5,23128670.43783129
